,Average Speed,Average  Speed_t2
266,69.3,68.5
267,69.0,69.2
268,68.5,70.6
269,69.2,69.8
270,70.6,69.7
271,69.8,69.7
272,69.7,69.6
273,69.7,69.8
274,69.6,69.4
275,69.8,69.6
276,69.4,69.9
277,69.6,68.8
278,69.9,67.2
279,68.8,68.0
280,67.2,67.8
281,68.0,68.1
282,67.8,65.2
283,68.1,66.2
284,65.2,66.1
285,66.2,66.2
286,66.1,66.4
287,66.2,68.5
288,66.4,64.9
289,68.5,67.1
290,64.9,65.0
291,67.1,63.3
292,65.0,64.8
293,63.3,65.6
294,64.8,64.8
295,65.6,64.9
296,64.8,64.7
297,64.9,64.7
298,64.7,67.9
299,64.7,67.3
300,67.9,66.6
301,67.3,65.3
302,66.6,65.6
303,65.3,64.6
304,65.6,65.0
305,64.6,65.6
306,65.0,64.9
307,65.6,64.2
308,64.9,63.1
309,64.2,59.9
310,63.1,61.3
311,59.9,63.0
312,61.3,61.9
313,63.0,60.8
314,61.9,61.7
315,60.8,64.5
316,61.7,62.7
317,64.5,63.2
318,62.7,63.3
319,63.2,63.9
320,63.3,63.3
321,63.9,64.1
322,63.3,65.4
323,64.1,64.6
324,65.4,66.7
325,64.6,65.5
326,66.7,66.4
327,65.5,66.3
328,66.4,66.4
329,66.3,65.4
330,66.4,64.9
331,65.4,67.5
332,64.9,65.7
333,67.5,66.7
334,65.7,65.9
335,66.7,66.0
336,65.9,66.0
337,66.0,64.5
338,66.0,65.0
339,64.5,65.2
340,65.0,65.6
341,65.2,66.0
342,65.6,66.2
343,66.0,66.2
344,66.2,67.1
345,66.2,66.8
346,67.1,67.6
347,66.8,68.8
348,67.6,67.2
349,68.8,69.2
350,67.2,67.7
351,69.2,68.7
352,67.7,68.2
353,68.7,67.4
354,68.2,67.2
355,67.4,67.6
356,67.2,67.3
357,67.6,66.8
358,67.3,66.5
359,66.8,65.2
360,66.5,66.8
361,65.2,66.5
362,66.8,66.7
363,66.5,66.5
364,66.7,68.5
365,66.5,67.0
366,68.5,66.6
367,67.0,66.7
368,66.6,64.6
369,66.7,64.7
370,64.6,64.8
371,64.7,65.3
372,64.8,64.1
373,65.3,64.6
374,64.1,65.3
375,64.6,65.1
376,65.3,64.9
377,65.1,64.4
378,64.9,64.2
379,64.4,64.9
380,64.2,64.5
381,64.9,64.7
382,64.5,63.9
383,64.7,63.0
384,63.9,63.5
385,63.0,64.4
386,63.5,63.1
387,64.4,63.4
388,63.1,64.7
389,63.4,62.4
390,64.7,61.9
391,62.4,63.8
392,61.9,62.2
393,63.8,63.9
394,62.2,64.0
395,63.9,64.3
396,64.0,64.7
397,64.3,63.8
398,64.7,63.5
399,63.8,62.6
400,63.5,64.2
401,62.6,61.7
402,64.2,60.4
403,61.7,61.9
404,60.4,63.4
405,61.9,62.3
406,63.4,61.8
407,62.3,62.3
408,61.8,63.2
409,62.3,63.5
410,63.2,61.6
411,63.5,63.5
412,61.6,68.30242718446601
413,63.5,68.30242718446601
